age,income,loan_amount,loan_term_months,credit_score,employment_years,num_prior_defaults,home_ownership,purpose,default
47,356028,650362,59,523,0,1,mortgage,education,1
45,107015,535431,47,548,4,1,rent,medical,1
36,244161,50000,57,630,5,1,mortgage,business,0
31,272742,553668,18,623,13,0,rent,auto,1
43,20000,692646,29,543,1,0,own,auto,1
40,276323,633779,14,563,9,1,own,auto,1
24,492759,469224,23,535,10,0,mortgage,education,1
37,296792,992649,59,656,3,0,rent,auto,1
41,396810,593412,63,463,5,0,rent,auto,1
29,241950,631302,15,539,7,0,own,personal,1
40,211214,813348,28,471,0,1,mortgage,home_improvement,1
23,265753,608778,35,654,4,0,rent,personal,1
51,122101,230595,47,476,11,0,rent,personal,1
50,104347,50000,6,623,8,1,mortgage,home_improvement,0
35,371957,356864,7,751,5,0,mortgage,medical,1
42,384681,728284,45,754,6,0,rent,education,1
18,101067,394071,6,476,8,0,rent,medical,1
26,336160,740354,28,644,9,0,own,personal,1
35,209565,544618,39,541,4,0,own,business,1
27,260777,886420,43,525,12,0,own,personal,1
45,275226,411435,33,611,11,1,mortgage,home_improvement,1
58,339322,640284,29,718,9,0,rent,personal,1
26,229926,651766,51,668,3,0,mortgage,education,1
30,389219,950481,41,563,2,0,rent,education,1
40,257130,50000,24,676,5,0,mortgage,personal,0
54,294902,362478,37,441,6,0,rent,auto,1
26,120008,754555,43,560,0,0,rent,business,1
40,479039,963769,67,554,8,0,rent,personal,1
56,276379,572021,50,626,11,0,rent,home_improvement,1
21,305560,412189,58,604,8,0,rent,auto,1
25,27018,727136,25,609,3,0,own,education,1
34,121276,760611,27,606,3,0,mortgage,education,1
33,368546,392101,32,622,7,0,own,auto,1
46,254427,599092,33,663,5,0,own,medical,1
40,20000,854158,18,632,8,0,rent,medical,1
20,344595,1067138,59,597,8,1,mortgage,education,1
43,154746,722781,52,652,10,0,rent,education,1
32,389358,513242,30,686,1,2,rent,education,1
51,209460,483777,48,576,7,0,rent,auto,1
32,244565,667219,40,615,5,0,rent,personal,1
32,361475,465298,49,713,6,2,own,personal,1
43,112301,556892,12,532,9,0,rent,education,1
46,100858,182637,33,764,10,1,rent,home_improvement,1
42,196420,889117,35,513,12,0,mortgage,personal,1
21,319261,157945,47,592,8,1,rent,education,0
43,60295,370366,25,544,6,0,own,personal,1
28,20000,529278,6,795,5,0,rent,education,1
40,318847,1097296,17,580,0,0,mortgage,medical,1
24,147643,373195,35,580,11,0,mortgage,medical,1
42,172933,300195,37,590,5,0,rent,medical,1
30,20000,334755,66,628,8,0,mortgage,business,1
25,138522,997669,46,594,9,0,rent,personal,1
45,219092,50000,37,609,1,0,rent,education,0
40,331645,199179,35,338,2,1,own,personal,0
32,127452,1319387,56,625,12,1,mortgage,home_improvement,1
53,418885,677265,25,621,7,0,rent,business,1
34,137853,168205,33,703,4,1,rent,personal,1
38,138029,487425,16,725,5,0,rent,personal,1
41,404483,520236,62,605,10,0,own,auto,1
32,245375,753838,43,685,10,0,mortgage,home_improvement,1
43,153757,1051851,23,532,0,0,rent,personal,1
33,201384,616566,34,681,13,0,mortgage,education,1
34,382369,338064,45,574,10,0,rent,auto,1
52,395944,736125,31,525,5,0,mortgage,medical,1
28,121985,290524,26,605,1,1,mortgage,medical,1
18,214908,189999,24,732,10,1,own,personal,1
54,230819,50000,42,634,8,1,rent,business,0
63,101651,50000,30,740,0,0,rent,personal,0
34,213318,231066,28,560,5,0,rent,business,1
19,220639,146663,12,704,19,0,own,personal,0
35,356825,593971,37,568,6,0,mortgage,education,1
35,364891,140179,33,638,3,0,rent,auto,0
36,180495,50000,30,637,2,0,rent,education,0
27,194326,186826,40,673,13,0,rent,personal,1
44,299715,358442,49,640,9,1,own,education,1
43,149777,318365,49,561,12,0,own,personal,1
23,290637,955857,46,690,7,0,rent,auto,1
45,209451,315937,32,759,11,0,mortgage,business,1
59,103672,764277,26,573,3,1,rent,auto,1
40,105180,494305,17,473,7,0,own,auto,1
35,393647,487309,25,660,7,0,rent,education,1
37,201229,249386,36,594,12,0,rent,auto,1
44,416842,482365,22,610,7,1,own,business,1
21,158364,270471,38,664,3,0,own,auto,1
40,254945,551007,19,583,6,0,rent,home_improvement,1
34,507121,429125,6,598,0,0,mortgage,business,1
56,93114,216612,51,612,0,0,own,auto,1
36,20000,797568,27,738,9,0,rent,auto,1
55,374391,628052,21,622,5,1,mortgage,medical,1
27,120783,365581,16,521,5,0,mortgage,medical,1
44,217515,543648,44,524,9,1,rent,personal,1
41,149690,474853,61,631,12,0,mortgage,personal,1
29,252180,239723,29,530,8,0,mortgage,personal,1
40,105936,521149,32,495,14,0,rent,business,1
50,198407,313696,55,671,8,0,own,medical,1
35,273978,216520,6,675,7,0,rent,personal,1
21,99003,50000,71,591,7,1,own,education,0
38,135990,392418,80,643,1,1,mortgage,business,1
29,178314,670091,6,635,10,0,rent,home_improvement,1
35,48542,291602,34,668,0,0,own,personal,1
37,169293,1256213,23,668,4,0,rent,auto,1
21,234256,765706,31,412,6,0,own,auto,1
22,172054,891299,28,601,3,2,mortgage,education,1
43,187435,738573,51,661,4,0,rent,personal,1
33,217612,1055859,34,587,13,0,own,personal,1
18,141311,263899,20,623,10,0,rent,business,1
46,302928,50000,33,680,3,0,mortgage,education,0
41,392317,366162,45,626,4,0,mortgage,personal,1
31,164274,667466,15,741,1,1,own,auto,1
25,278224,545455,6,710,9,0,rent,personal,1
46,191246,582642,72,611,5,0,own,auto,1
41,263858,896273,24,604,0,1,own,auto,1
62,407894,614617,34,392,6,0,own,personal,1
42,281039,739674,29,594,8,0,own,personal,1
42,20000,218131,46,512,10,1,mortgage,home_improvement,1
36,274479,171382,68,638,6,0,rent,home_improvement,0
46,367944,984234,46,632,5,0,rent,personal,1
44,193408,530270,9,676,14,1,mortgage,medical,1
51,339476,313031,11,732,6,0,rent,personal,1
33,137186,313582,29,618,9,1,mortgage,business,1
34,41735,305263,31,802,4,0,own,business,1
33,236940,287312,6,639,9,0,mortgage,education,1
46,20000,115056,51,515,0,0,own,education,1
53,191227,50000,16,575,4,1,mortgage,auto,0
33,374421,441499,63,590,1,0,mortgage,personal,1
34,20000,322122,69,667,4,1,own,auto,1
41,66460,832148,32,544,11,0,rent,personal,1
36,96156,587923,44,596,4,0,rent,medical,1
48,212402,579595,14,607,9,1,rent,auto,1
18,176114,277064,47,584,12,0,mortgage,personal,1
30,387896,463691,27,685,6,0,rent,education,1
30,334522,608300,16,671,10,1,mortgage,business,1
18,279433,714859,31,713,8,0,own,education,1
28,237476,471832,28,594,6,0,rent,education,1
29,267188,823737,30,716,9,0,mortgage,business,1
36,116562,502397,53,511,13,0,rent,personal,1
49,322865,737854,22,509,3,0,own,education,1
36,86555,353044,67,523,2,0,own,auto,1
28,320245,50000,12,621,2,1,rent,personal,0
37,362337,580508,65,716,10,1,rent,home_improvement,1
48,245304,717597,18,572,11,0,own,auto,1
28,198854,672604,36,582,4,0,rent,auto,1
29,268037,626656,27,603,0,0,mortgage,personal,1
44,20000,395424,30,666,3,0,own,home_improvement,1
36,256271,257976,50,582,8,0,rent,business,1
44,206398,665518,63,577,6,1,rent,personal,1
38,213925,627934,57,512,7,1,rent,education,1
45,304784,331730,29,574,4,0,mortgage,personal,1
28,211028,832827,39,714,10,0,own,medical,1
38,83175,235140,22,627,7,0,rent,auto,1
36,203032,324943,18,561,8,0,own,personal,1
26,228107,990928,15,719,7,0,own,education,1
22,233792,760575,28,573,8,0,own,home_improvement,1
45,239430,392597,40,734,8,1,rent,auto,1
34,344724,586214,6,732,2,1,rent,personal,1
28,89676,546438,35,624,7,0,rent,home_improvement,1
37,241084,50000,63,500,9,0,own,personal,0
49,374792,228058,56,803,11,0,own,auto,0
18,20000,484746,25,651,8,1,rent,education,1
23,241558,393017,11,594,2,0,rent,personal,1
29,149755,574131,44,696,3,0,own,personal,1
53,175515,838845,6,676,4,1,rent,personal,1
41,111423,403539,56,725,7,0,own,personal,1
46,199654,182704,32,567,6,0,rent,education,1
27,440951,597455,69,645,2,0,rent,business,1
27,68268,402013,6,525,1,0,own,personal,1
42,79647,453181,53,673,0,0,rent,medical,1
39,63768,412468,34,618,0,1,own,auto,1
43,427290,1172551,30,642,5,1,rent,personal,1
36,164519,50000,11,608,15,0,rent,education,0
41,216923,383500,47,600,13,0,own,personal,1
40,171666,498893,48,551,2,0,rent,education,1
46,106669,265657,68,683,7,1,own,auto,1
46,191782,769948,54,739,0,1,mortgage,medical,1
22,514989,743977,25,575,1,0,mortgage,home_improvement,1
18,387049,485674,18,664,1,0,rent,personal,1
48,117647,418798,11,655,5,0,rent,home_improvement,1
50,297709,466413,63,621,5,0,rent,personal,1
28,120217,468564,22,498,7,0,mortgage,personal,1
19,20000,476488,63,516,9,0,rent,personal,1
39,342341,443600,45,558,5,0,rent,business,1
47,359211,575735,42,449,6,0,mortgage,medical,1
56,345526,725964,30,733,2,0,rent,home_improvement,1
43,163616,130922,48,649,1,0,own,medical,0
34,199987,184801,36,618,0,0,own,auto,1
29,309972,50000,29,445,9,0,own,home_improvement,0
38,266980,759919,49,474,5,0,mortgage,home_improvement,1
35,172764,575097,33,620,0,0,rent,business,1
28,25711,651580,22,778,6,0,own,education,1
58,233665,71151,47,564,1,0,own,business,0
56,349481,1035484,35,689,13,1,rent,personal,1
49,76289,317345,45,582,4,0,mortgage,home_improvement,1
29,296651,550462,28,624,9,0,mortgage,home_improvement,1
47,259785,756315,14,717,10,0,mortgage,medical,1
44,310018,203906,67,592,2,0,mortgage,personal,0
42,324637,336103,64,565,6,0,rent,personal,1
50,136664,553752,52,733,8,0,rent,home_improvement,1
44,25965,1357242,29,624,6,1,rent,business,1
45,155978,590337,31,707,7,0,rent,medical,1
44,326695,981908,61,565,1,2,rent,home_improvement,1
41,154960,861702,30,733,8,1,rent,education,1
20,136715,610403,25,642,4,1,rent,home_improvement,1
39,20000,203241,70,655,7,0,mortgage,personal,1
32,430318,817926,35,631,10,0,rent,personal,1
25,319086,50567,68,580,9,0,own,education,0
55,312388,980263,11,620,7,0,mortgage,auto,1
55,336127,560002,45,585,9,0,own,auto,1
52,289205,50000,73,697,9,0,rent,business,0
41,190681,397848,37,604,12,0,own,personal,1
52,200348,696184,31,500,6,1,mortgage,medical,1
38,168692,428893,15,486,7,0,mortgage,personal,1
40,536169,714502,55,482,10,0,rent,business,1
27,286709,244993,22,669,4,0,rent,personal,1
42,164344,108205,34,528,1,0,own,medical,0
39,275860,478566,14,644,8,0,rent,education,1
25,98696,509470,64,631,5,0,mortgage,auto,1
37,400541,395485,57,615,1,0,own,personal,1
37,140672,868187,35,655,8,0,mortgage,personal,1
56,280130,244938,15,633,12,1,mortgage,auto,1
47,347917,593950,64,403,0,0,own,personal,1
38,266172,520391,29,594,10,1,mortgage,personal,1
40,231336,50000,16,654,0,0,own,medical,0
38,221296,104291,6,751,4,1,rent,personal,0
36,213227,503573,24,755,13,1,mortgage,personal,1
27,150796,1094360,10,511,5,0,own,auto,1
36,166062,673781,25,592,6,0,mortgage,auto,1
31,397551,50000,49,495,9,0,rent,education,0
25,206976,50000,29,742,0,1,rent,medical,0
43,125704,719916,42,701,6,1,mortgage,education,1
42,158044,471136,23,648,6,2,rent,auto,1
20,352044,842380,37,633,13,2,own,auto,1
37,301073,235785,71,730,1,0,own,personal,1
48,287240,605064,30,717,4,0,rent,medical,1
49,189097,753852,43,713,2,0,rent,auto,1
48,288803,365761,8,657,2,0,mortgage,business,1
38,142773,372174,63,592,11,0,rent,education,1
30,188846,507579,27,681,6,0,mortgage,education,1
27,336377,662803,55,685,4,0,mortgage,education,1
41,324913,495700,34,605,4,0,own,home_improvement,1
42,102171,792199,47,592,4,0,rent,auto,1
51,117337,361419,48,711,4,3,rent,auto,1
49,233044,101481,28,753,1,0,mortgage,home_improvement,0
37,427136,1093093,56,560,5,1,rent,education,1
26,20000,318610,22,599,5,0,rent,auto,1
35,253400,329467,50,648,3,0,mortgage,personal,1
40,54875,480259,29,659,7,0,rent,personal,1
36,143880,520154,42,578,7,0,rent,business,1
32,176269,383995,28,771,4,0,mortgage,personal,1
41,169539,494770,37,654,5,1,rent,personal,1
33,155944,488071,17,663,15,0,rent,personal,1
32,220865,552446,40,761,14,0,rent,home_improvement,1
41,155769,50000,37,584,2,0,mortgage,education,0
34,44505,1064263,26,613,2,1,mortgage,auto,1
40,313584,455814,35,520,2,0,mortgage,home_improvement,1
41,310345,674187,38,606,10,0,mortgage,auto,1
27,321181,86570,25,501,4,2,rent,business,0
33,35112,358700,34,680,7,0,own,medical,1
52,255870,298305,18,654,14,1,rent,auto,1
26,301117,940917,78,598,6,0,mortgage,business,1
18,96256,324256,55,612,9,0,mortgage,home_improvement,1
19,221101,727424,41,681,8,0,rent,personal,1
38,206048,304874,57,529,4,0,mortgage,personal,1
38,441058,364214,6,636,10,0,own,business,1
37,450940,426335,6,676,3,0,rent,auto,1
50,20277,885154,29,477,11,0,own,education,1
18,519271,50000,11,675,4,0,mortgage,personal,0
42,110173,105301,32,486,4,0,rent,business,0
54,337681,50000,40,611,2,1,rent,medical,0
27,336460,173749,53,527,2,0,mortgage,home_improvement,0
34,100517,256520,16,734,4,0,rent,auto,1
30,279192,50000,43,527,0,0,rent,home_improvement,0
29,207096,279756,36,488,5,0,mortgage,education,1
35,286520,50000,42,631,4,0,own,education,0
52,247681,194603,27,587,9,0,rent,medical,1
56,363561,860126,61,500,8,1,rent,auto,1
35,229048,621076,34,662,3,1,mortgage,education,1
57,199855,556240,68,461,4,0,own,personal,1
38,351528,199166,22,537,5,0,own,auto,0
56,289648,50000,49,574,12,1,mortgage,medical,0
37,307818,158253,35,684,3,0,rent,personal,0
39,140250,487037,30,724,3,1,mortgage,medical,1
42,94568,760453,47,708,1,0,mortgage,auto,1
70,151873,770710,31,608,0,0,mortgage,personal,1
47,145501,689184,6,426,7,0,rent,medical,1
31,314344,278733,6,651,7,0,rent,personal,1
48,337118,507365,59,738,11,0,own,home_improvement,1
34,201384,403597,58,719,10,0,mortgage,home_improvement,1
33,391710,439643,70,657,16,0,mortgage,auto,1
47,384216,1111138,36,525,6,1,rent,auto,1
38,249208,50000,13,578,5,0,own,personal,0
41,121373,429597,28,775,1,0,rent,business,1
38,409045,863525,36,507,9,0,own,personal,1
41,212678,60233,18,528,6,0,mortgage,home_improvement,0
42,235140,306876,66,695,9,0,mortgage,home_improvement,1
19,179247,341288,76,586,1,0,rent,personal,1
45,113225,433013,45,525,7,0,mortgage,medical,1
28,43763,50000,36,742,7,0,rent,auto,0
24,295944,678586,13,657,7,0,own,education,1
37,125992,699886,64,589,3,2,own,personal,1
39,587144,652513,37,528,11,1,own,medical,1
31,89671,238888,31,784,14,1,mortgage,personal,1
46,69114,525953,45,618,2,0,own,home_improvement,1
25,281217,230168,25,732,9,0,rent,auto,1
34,403518,400221,39,691,0,0,rent,education,1
32,227751,1146040,10,578,9,0,own,home_improvement,1
38,288669,528709,56,579,0,0,own,medical,1
41,20000,143742,34,736,4,0,own,education,1
28,138699,554101,57,737,1,1,rent,auto,1
45,91166,94461,32,470,5,2,rent,auto,0
39,20000,140297,34,664,9,1,mortgage,auto,1
19,234038,187663,14,610,0,0,own,home_improvement,1
18,20000,366707,50,537,5,1,own,personal,1
38,61336,781091,20,641,4,0,own,auto,1
36,155537,673519,27,512,12,0,rent,business,1
37,120246,656899,36,583,8,0,rent,auto,1
38,267569,170323,38,556,1,0,rent,home_improvement,0
40,256670,337606,6,580,4,0,mortgage,personal,1
47,327256,581600,32,614,12,0,rent,personal,1
27,310286,311504,50,539,9,0,rent,education,1
26,356898,416490,29,746,2,0,mortgage,education,1
27,219770,632408,32,659,5,0,rent,home_improvement,1
41,256416,395368,39,764,5,0,own,auto,1
50,281382,567818,34,607,4,0,rent,personal,1
34,236999,977819,17,576,0,0,rent,auto,1
18,172337,448442,35,761,3,0,rent,auto,1
21,180107,853801,54,574,12,1,mortgage,education,1
30,121893,667811,17,606,4,0,own,personal,1
32,270594,59827,29,678,6,0,mortgage,education,0
34,208718,169359,11,521,7,0,mortgage,home_improvement,1
38,140419,249921,53,677,15,0,rent,auto,1
35,140531,243550,34,667,6,1,own,medical,1
48,74752,472913,21,722,10,0,rent,personal,1
31,337461,684393,38,691,4,0,own,business,1
29,229434,876548,14,724,5,0,mortgage,personal,1
43,116464,592453,17,611,6,2,rent,education,1
23,317026,366296,10,551,3,0,mortgage,auto,1
42,152746,50000,17,789,5,0,own,personal,0
39,51220,521177,60,498,10,1,rent,auto,1
37,342547,507731,23,506,3,0,rent,personal,1
54,155548,554879,44,665,6,2,own,home_improvement,1
32,170932,1131872,21,750,9,0,own,personal,1
59,224942,872179,50,635,3,0,rent,home_improvement,1
36,357111,735518,18,700,10,1,own,auto,1
25,222404,211377,37,460,6,0,rent,personal,1
39,76106,346102,37,580,5,0,mortgage,auto,1
27,285265,471547,78,470,0,0,rent,personal,1
30,161801,267378,47,682,5,0,own,business,1
42,446551,650139,25,496,7,1,mortgage,personal,1
44,219866,607073,48,518,13,0,mortgage,business,1
32,20000,173508,74,661,8,1,mortgage,personal,1
48,262884,859045,7,705,11,0,mortgage,auto,1
50,453352,530693,21,607,1,1,rent,personal,1
52,409110,50000,32,666,5,1,rent,medical,0
43,439715,484597,28,663,11,0,own,education,1
52,97629,584362,30,603,2,0,rent,home_improvement,1
19,329458,791838,13,532,10,0,mortgage,auto,1
35,133361,398757,61,665,9,0,rent,personal,1
29,246915,748381,10,669,7,0,mortgage,business,1
39,67246,556143,32,692,5,0,mortgage,education,1
32,142665,105484,55,645,2,0,own,business,0
36,138850,75450,35,527,13,1,rent,auto,0
57,327827,836768,18,675,9,0,mortgage,medical,1
36,316086,858795,12,620,7,0,mortgage,personal,1
42,253218,596873,32,581,4,0,mortgage,home_improvement,1
36,57949,948712,22,596,6,0,mortgage,personal,1
39,182603,816983,40,565,7,0,rent,business,1
38,130466,705089,11,691,8,0,rent,personal,1
42,324361,226607,51,507,9,0,rent,business,0
50,361382,1019429,38,541,3,0,own,business,1
54,346766,660890,39,594,0,0,own,business,1
41,129374,384248,62,749,6,0,rent,auto,1
44,20000,299519,28,704,0,0,mortgage,auto,1
26,20000,577035,23,489,5,0,rent,business,1
37,390595,50000,26,728,4,0,mortgage,education,0
47,171849,709902,33,728,8,0,own,education,1
47,129913,213929,34,526,14,0,rent,personal,1
40,417119,611182,21,418,0,0,rent,auto,1
47,371819,343514,6,614,15,0,mortgage,auto,1
43,222934,420674,26,710,5,0,mortgage,medical,1
50,184792,272927,42,747,7,0,rent,personal,1
41,204148,451631,38,550,0,1,own,auto,1
34,247260,1066814,58,760,10,0,own,business,1
41,412006,915518,71,442,6,0,rent,education,1
18,270696,606344,50,591,6,0,own,home_improvement,1
42,307123,492412,61,587,0,0,rent,personal,1
18,360312,753260,50,712,6,0,mortgage,auto,1
21,79639,838991,67,724,9,1,mortgage,education,1
43,310583,251054,69,696,5,0,rent,auto,1
43,184652,476768,53,512,11,0,mortgage,medical,1
26,20000,50000,49,689,11,1,rent,personal,0
31,20000,836931,32,661,3,1,mortgage,education,1
52,97826,1119507,35,486,12,0,own,personal,1
33,283747,524025,30,455,6,0,rent,education,1
60,233656,50000,47,703,6,0,mortgage,business,0
38,242124,682667,23,606,6,0,rent,personal,1
42,454113,228773,33,517,6,0,mortgage,auto,0
54,67709,300995,6,603,0,0,mortgage,auto,1
39,216708,687973,67,649,5,0,own,medical,1
28,256532,576366,32,613,1,1,own,personal,1
37,131647,353567,44,496,13,0,own,auto,1
38,223399,305118,62,771,12,0,rent,business,1
24,28006,537751,41,700,9,0,rent,education,1
35,389189,377160,62,593,5,0,mortgage,medical,1
31,138206,167229,14,596,2,0,rent,auto,1
47,463768,400231,79,649,3,1,rent,home_improvement,1
38,216103,601878,56,530,14,1,rent,personal,1
35,343366,446569,40,646,3,0,mortgage,personal,1
37,213604,75947,62,514,0,1,mortgage,education,0
40,216311,796719,15,614,10,0,rent,auto,1
44,149916,50000,31,527,12,1,rent,education,0
28,234295,366090,62,531,13,0,mortgage,personal,1
28,258160,313940,6,752,10,0,rent,personal,1
49,125889,544454,46,625,11,0,mortgage,medical,1
34,204995,668499,46,637,6,0,mortgage,auto,1
24,146788,838029,71,459,0,1,mortgage,medical,1
42,495960,286279,8,572,6,0,rent,medical,0
43,209232,675975,65,657,8,0,mortgage,personal,1
23,405428,558746,26,636,5,0,mortgage,medical,1
40,196525,50000,28,448,5,0,rent,business,0
45,251115,1070162,14,637,2,0,mortgage,business,1
42,61436,68367,16,649,2,0,rent,personal,1
44,166351,625849,43,723,13,0,mortgage,education,1
24,245264,616988,16,568,13,1,own,home_improvement,1
41,410320,582691,49,441,6,0,rent,education,1
35,246638,351627,24,540,7,1,own,auto,1
33,386046,748176,14,532,2,0,rent,personal,1
47,296887,50000,26,679,9,1,rent,medical,0
53,415288,480251,42,403,13,0,mortgage,business,1
56,212915,330838,31,584,0,1,rent,home_improvement,1
51,506827,296811,37,734,8,1,mortgage,home_improvement,0
37,161752,628624,49,621,8,0,rent,auto,1
42,128025,823244,55,692,8,0,own,education,1
46,74794,397023,30,489,13,2,mortgage,personal,1
39,499723,734204,17,492,14,0,own,personal,1
39,318334,514922,37,735,5,0,mortgage,personal,1
46,179906,232180,44,628,9,0,mortgage,home_improvement,1
37,369883,422614,10,628,6,1,own,personal,1
31,302523,410154,20,531,3,2,mortgage,auto,1
34,455935,291002,23,628,7,0,rent,auto,0
44,34260,628545,32,528,9,2,rent,auto,1
38,188157,570394,22,715,7,0,rent,education,1
41,164497,50000,49,838,2,0,mortgage,personal,0
45,20000,50000,7,659,4,1,own,auto,0
34,347239,627405,8,569,4,0,own,auto,1
46,187552,255414,30,417,3,0,mortgage,business,1
42,308756,590612,33,485,7,0,rent,medical,1
26,503173,734279,10,744,8,0,mortgage,business,1
52,177611,118714,25,538,10,0,rent,auto,0
33,169462,76539,29,590,3,1,rent,personal,0
21,234240,1002330,29,672,4,0,own,auto,1
28,338470,605471,39,739,12,1,rent,home_improvement,1
28,151994,374228,24,604,5,0,own,personal,1
39,144285,219818,63,588,6,1,mortgage,personal,1
35,346863,346868,45,626,5,2,mortgage,home_improvement,1
35,265437,142828,21,570,11,0,rent,home_improvement,0
44,20000,765024,38,574,11,0,rent,personal,1
41,72953,266975,38,653,10,0,rent,business,1
41,400148,828060,58,635,6,0,own,auto,1
42,268231,379811,25,791,3,0,rent,auto,1
44,128536,186995,50,655,14,1,rent,auto,1
18,199551,372110,37,712,9,1,mortgage,home_improvement,1
34,221588,50000,63,534,4,0,mortgage,personal,0
18,308288,463769,59,662,12,0,mortgage,business,1
38,57008,448964,40,562,4,0,rent,personal,1
38,119086,747423,31,652,12,0,own,education,1
48,252755,50000,45,675,12,0,rent,medical,0
50,208020,848560,33,624,2,1,rent,medical,1
40,288623,746180,66,813,8,0,rent,home_improvement,1
33,72459,875613,37,734,9,1,mortgage,medical,1
43,262855,484184,29,714,16,0,own,medical,1
33,350990,804169,28,681,3,0,rent,personal,1
38,278418,58627,14,761,12,0,own,home_improvement,0
48,236693,713914,46,505,6,0,mortgage,auto,1
32,208494,268651,21,730,1,0,rent,auto,1
46,119818,50000,56,541,6,0,mortgage,education,0
45,211360,162758,13,575,6,0,rent,auto,1
28,371165,501659,38,665,2,0,rent,education,1
48,205717,252710,57,719,7,1,mortgage,auto,1
45,113224,612822,6,528,10,0,rent,personal,1
39,160930,50000,72,579,7,1,mortgage,home_improvement,0
30,244102,50000,28,628,4,0,rent,home_improvement,0
29,175178,911716,39,605,5,0,own,auto,1
33,278236,771140,46,688,6,1,own,home_improvement,1
43,282741,185211,49,850,7,0,mortgage,auto,0
28,326678,499100,41,654,10,1,mortgage,auto,1
42,390827,805852,54,561,7,0,own,home_improvement,1
26,339503,625760,45,516,0,0,rent,education,1
36,107891,544467,68,594,4,0,rent,business,1
39,111576,828546,45,545,7,2,own,auto,1
62,210907,280786,71,657,10,0,own,auto,1
24,165859,509354,52,656,11,0,rent,personal,1
53,83401,494645,6,583,13,0,mortgage,home_improvement,1
39,166997,418171,83,779,7,1,rent,personal,1
42,163058,383058,26,561,9,0,rent,auto,1
39,139378,521860,63,610,0,2,mortgage,personal,1
42,182105,510322,36,671,8,1,own,medical,1
36,361414,185472,55,691,2,0,mortgage,auto,0
53,243909,740539,24,722,6,0,rent,business,1
33,516617,207084,47,654,18,1,rent,education,0
49,240461,434530,31,704,7,0,own,personal,1
32,185192,411416,64,567,3,0,rent,personal,1
37,220496,607431,44,693,8,0,mortgage,personal,1
27,250779,50000,53,692,4,0,rent,medical,0
43,272230,767273,6,741,2,0,rent,business,1
52,469205,296903,34,487,14,1,rent,auto,0
37,118562,865989,43,547,10,1,rent,education,1
36,323086,356551,40,686,7,0,rent,personal,1
27,244930,485347,53,408,4,1,mortgage,home_improvement,1
36,31468,1074136,29,659,5,0,own,home_improvement,1
22,312484,416799,37,705,12,0,rent,medical,1
29,372115,871655,57,574,7,0,own,personal,1
40,117139,511714,6,586,0,0,rent,auto,1
51,218928,624626,47,534,16,1,rent,home_improvement,1
66,20000,520988,30,578,7,0,mortgage,personal,1
32,68943,754355,20,581,7,0,mortgage,medical,1
52,345764,294341,42,565,10,0,own,home_improvement,1
40,164030,204785,58,561,8,0,rent,business,1
36,86944,308427,55,598,9,1,rent,education,1
42,247535,529913,34,597,4,1,mortgage,education,1
39,157311,433754,52,770,1,0,own,home_improvement,1
39,163501,713082,52,588,7,1,own,auto,1
34,308719,891420,34,648,12,0,mortgage,home_improvement,1
24,80592,207248,24,574,3,2,rent,auto,1
23,111356,279815,25,573,3,0,mortgage,medical,1
45,238490,69128,51,484,11,0,own,home_improvement,0
35,336329,1109112,35,494,4,1,rent,education,1
32,368579,591401,17,523,4,0,rent,auto,1
38,140193,643941,6,635,5,0,own,personal,1
46,332485,97937,51,706,6,0,rent,business,0
40,125903,499649,26,477,0,0,own,education,1
31,439145,652774,42,576,4,0,mortgage,personal,1
50,83947,424173,58,511,7,0,own,business,1
54,379417,822712,12,599,7,0,own,home_improvement,1
43,141222,1193549,35,706,11,0,own,home_improvement,1
48,461590,215881,33,584,13,0,own,education,0
50,290958,193374,43,616,12,0,mortgage,home_improvement,0
49,98078,236673,58,736,10,0,rent,business,1
44,157331,981860,12,657,5,0,mortgage,personal,1
44,313742,812707,46,559,4,0,rent,home_improvement,1
43,346317,459342,55,633,6,0,rent,education,1
27,211514,510968,33,554,8,0,mortgage,home_improvement,1
45,225359,255037,34,654,9,0,rent,business,1
24,311002,767008,44,661,8,0,rent,medical,1
30,235816,386029,42,511,6,0,rent,auto,1
51,64779,421977,46,634,9,0,mortgage,personal,1
46,122443,682637,46,611,11,0,own,personal,1
53,248214,443602,18,664,10,0,rent,medical,1
35,365858,429510,54,687,6,0,own,business,1
26,413918,503173,57,658,3,0,rent,personal,1
36,313544,738607,39,596,3,1,mortgage,personal,1
39,254475,993948,9,695,3,0,rent,medical,1
39,309858,675646,34,550,7,0,own,auto,1
49,139990,740994,39,514,8,0,own,personal,1
34,201612,440044,15,364,0,1,own,personal,1
42,121104,287661,30,614,4,0,mortgage,education,1
28,70151,696196,11,554,7,1,rent,education,1
43,260026,551372,47,652,2,0,mortgage,business,1
38,242262,73211,39,462,8,0,rent,auto,0
31,302518,401579,6,568,5,1,own,personal,1
36,285533,475131,42,658,3,0,rent,business,1
36,249117,346863,35,538,6,0,rent,home_improvement,1
35,286794,944521,45,653,8,0,rent,auto,1
56,214878,643952,29,575,3,0,rent,business,1
37,269547,911952,22,617,5,0,mortgage,business,1
36,132863,579028,22,668,8,0,mortgage,home_improvement,1
18,264365,524416,26,696,3,0,rent,auto,1
29,300210,219021,36,627,0,0,own,personal,1
35,139638,503579,39,555,0,0,mortgage,personal,1
